,dataset_name,k-fold,train_time,acc,TPR,FPR,Presicion,AUC,Area under PR,Inferece time
0,Rps,1,235.0476758480072,0.882758617401123,0.8827586206896552,0.05862068965517241,0.8827586206896552,0.9894756668091093,0.9792237486208425,0.7879469394683838
1,Rps,2,234.9699182510376,0.8724138140678406,0.8724137931034482,0.06379310344827586,0.8724137931034482,0.99486919398299,0.9884290094704952,0.7767539024353027
2,Rps,3,235.76025676727295,0.775086522102356,0.7750865051903114,0.11245674740484429,0.7750865051903114,0.9551660271590429,0.8938415630394175,0.768836498260498
3,Rps,4,235.75898694992065,0.9550173282623291,0.9550173010380623,0.02249134948096886,0.9550173010380623,0.9931252003098124,0.987795315930115,0.7746508121490479
4,Rps,5,235.3434157371521,0.9204152226448059,0.9204152249134948,0.039792387543252594,0.9204152249134948,0.9943179710544902,0.9899481446569894,0.7700071334838867
5,Rps,6,210.7234125137329,0.6193771362304688,0.6193771626297578,0.1903114186851211,0.6193771626297578,0.8266361231296999,0.7394416376529955,0.7759785652160645
6,Rps,7,236.27666354179382,0.7854671478271484,0.7854671280276817,0.10726643598615918,0.7854671280276817,0.9638521468760572,0.9225112853526936,1.6098825931549072
7,Rps,8,237.24232721328735,0.9100345969200134,0.9100346020761245,0.04498269896193772,0.9100346020761245,0.9951437853509725,0.9902903735995555,0.7766351699829102
8,Rps,9,234.42793369293213,0.7197231650352478,0.7197231833910035,0.14013840830449828,0.7197231833910035,0.9523411951225302,0.9050714713811093,0.8151628971099854
9,Rps,10,234.98660469055176,0.5674740672111511,0.5674740484429066,0.21626297577854672,0.5674740484429066,0.8974054871534639,0.7943806976100416,0.8264708518981934
